date,product,region,price
2025-01,Rice,Bangkok,42.95
2025-01,Rice,Chiang Mai,39.51
2025-01,Rice,Phuket,37.95
2025-01,Rice,Hanoi,39.56
2025-01,Rice,Kuala Lumpur,46.94
2025-01,Tomatoes,Bangkok,34.78
2025-01,Tomatoes,Chiang Mai,27.02
2025-01,Tomatoes,Phuket,32.08
2025-01,Tomatoes,Hanoi,31.07
2025-01,Tomatoes,Kuala Lumpur,20.02
2025-01,Chicken,Bangkok,74.52
2025-01,Chicken,Chiang Mai,81.3
2025-01,Chicken,Phuket,86.73
2025-01,Chicken,Hanoi,78.9
2025-01,Chicken,Kuala Lumpur,77.49
2025-01,Eggs,Bangkok,4.9
2025-01,Eggs,Chiang Mai,2.37
2025-01,Eggs,Phuket,3.42
2025-01,Eggs,Hanoi,4.0
2025-01,Eggs,Kuala Lumpur,1.0
2025-01,Milk,Bangkok,28.74
2025-01,Milk,Chiang Mai,18.94
2025-01,Milk,Phuket,19.3
2025-01,Milk,Hanoi,26.53
2025-01,Milk,Kuala Lumpur,27.87
2025-01,Potatoes,Bangkok,20.25
2025-01,Potatoes,Chiang Mai,19.2
2025-01,Potatoes,Phuket,18.04
2025-01,Potatoes,Hanoi,17.26
2025-01,Potatoes,Kuala Lumpur,25.37
2025-01,Onions,Bangkok,15.77
2025-01,Onions,Chiang Mai,14.05
2025-01,Onions,Phuket,10.63
2025-01,Onions,Hanoi,18.69
2025-01,Onions,Kuala Lumpur,20.7
2025-02,Rice,Bangkok,42.95
2025-02,Rice,Chiang Mai,37.26
2025-02,Rice,Phuket,38.95
2025-02,Rice,Hanoi,36.85
2025-02,Rice,Kuala Lumpur,38.37
2025-02,Tomatoes,Bangkok,35.61
2025-02,Tomatoes,Chiang Mai,36.67
2025-02,Tomatoes,Phuket,32.85
2025-02,Tomatoes,Hanoi,27.02
2025-02,Tomatoes,Kuala Lumpur,29.91
2025-02,Chicken,Bangkok,87.53
2025-02,Chicken,Chiang Mai,79.69
2025-02,Chicken,Phuket,78.54
2025-02,Chicken,Hanoi,78.54
2025-02,Chicken,Kuala Lumpur,82.81
2025-02,Eggs,Bangkok,2.68
2025-02,Eggs,Chiang Mai,3.72
2025-02,Eggs,Phuket,10.79
2025-02,Eggs,Hanoi,5.39
2025-02,Eggs,Kuala Lumpur,6.72
2025-02,Milk,Bangkok,31.43
2025-02,Milk,Chiang Mai,20.4
2025-02,Milk,Phuket,23.07
2025-02,Milk,Hanoi,24.51
2025-02,Milk,Kuala Lumpur,26.35
2025-02,Potatoes,Bangkok,11.4
2025-02,Potatoes,Chiang Mai,17.25
2025-02,Potatoes,Phuket,19.27
2025-02,Potatoes,Hanoi,22.83
2025-02,Potatoes,Kuala Lumpur,23.14
2025-02,Onions,Bangkok,13.63
2025-02,Onions,Chiang Mai,4.55
2025-02,Onions,Phuket,13.01
2025-02,Onions,Hanoi,13.51
2025-02,Onions,Kuala Lumpur,26.43
2025-03,Rice,Bangkok,36.91
2025-03,Rice,Chiang Mai,41.44
2025-03,Rice,Phuket,44.14
2025-03,Rice,Hanoi,45.13
2025-03,Rice,Kuala Lumpur,47.82
2025-03,Tomatoes,Bangkok,23.21
2025-03,Tomatoes,Chiang Mai,22.29
2025-03,Tomatoes,Phuket,27.71
2025-03,Tomatoes,Hanoi,23.12
2025-03,Tomatoes,Kuala Lumpur,28.39
2025-03,Chicken,Bangkok,78.02
2025-03,Chicken,Chiang Mai,85.57
2025-03,Chicken,Phuket,78.63
2025-03,Chicken,Hanoi,80.65
2025-03,Chicken,Kuala Lumpur,85.97
2025-03,Eggs,Bangkok,1.0
2025-03,Eggs,Chiang Mai,1.0
2025-03,Eggs,Phuket,8.31
2025-03,Eggs,Hanoi,5.33
2025-03,Eggs,Kuala Lumpur,8.0
2025-03,Milk,Bangkok,29.93
2025-03,Milk,Chiang Mai,28.16
2025-03,Milk,Phuket,19.57
2025-03,Milk,Hanoi,28.55
2025-03,Milk,Kuala Lumpur,23.5
2025-03,Potatoes,Bangkok,14.39
2025-03,Potatoes,Chiang Mai,30.24
2025-03,Potatoes,Phuket,20.71
2025-03,Potatoes,Hanoi,14.08
2025-03,Potatoes,Kuala Lumpur,25.41
2025-03,Onions,Bangkok,20.76
2025-03,Onions,Chiang Mai,17.47
2025-03,Onions,Phuket,12.36
2025-03,Onions,Hanoi,9.7
2025-03,Onions,Kuala Lumpur,16.97
2025-04,Rice,Bangkok,42.75
2025-04,Rice,Chiang Mai,40.68
2025-04,Rice,Phuket,47.21
2025-04,Rice,Hanoi,41.37
2025-04,Rice,Kuala Lumpur,31.91
2025-04,Tomatoes,Bangkok,28.17
2025-04,Tomatoes,Chiang Mai,36.04
2025-04,Tomatoes,Phuket,25.01
2025-04,Tomatoes,Hanoi,37.0
2025-04,Tomatoes,Kuala Lumpur,36.08
2025-04,Chicken,Bangkok,82.46
2025-04,Chicken,Chiang Mai,78.58
2025-04,Chicken,Phuket,70.96
2025-04,Chicken,Hanoi,84.56
2025-04,Chicken,Kuala Lumpur,75.34
2025-04,Eggs,Bangkok,1.5
2025-04,Eggs,Chiang Mai,9.69
2025-04,Eggs,Phuket,8.31
2025-04,Eggs,Hanoi,1.21
2025-04,Eggs,Kuala Lumpur,9.29
